,code,title_en,description_en,title_fa,description_fa,prior_en,prior_fa,code90,prior90_en,prior90_fa,code10,prior10_en,prior10_fa,code_extra,prior_extra_en,prior_extra_fa
0,100.0, Continue, Request received please continue, ادامه, درخواست‌کننده باید به درخواست خود ادامه دهد. سرور زمانی این کد را نمایش می‌دهد که بخش اول درخواست را دریافت کرده و منتظر بقیهٔ درخواست‌ها می‌باشد.,other,دیگر,,,,,,,,,
1,101.0, Switching Protocols, Switching to new protocol; obey Upgrade header, درحال تعویض پروتکل ها, درخواست‌کننده به سرور درخواست تعویض پروتکل‌ها را داده و سرور در حال تأیید کردن انجام تعویض است.,,,,,,,,,,,
2,200.0, OK, Request fulfilled document follows, موفقیت آمیز, سرور با موفقیت درخواست را محاسبه کرده‌است. و این به این معنی می‌باشد که سرور صفحه درخواست شده را فراهم کرده‌است.,OK!,عملیات موفق,90200.0,OK!,عملیات موفق,10200.0,OK!,عملیات موفق,,,
3,201.0, Created, Document created URL follows, ساخته شده, درخواست موفقیت آمیز بوده و سرور یک منبع جدید ایجاد کرده‌است.,,,,,,,,,,,
4,202.0, Accepted, Request accepted processing continues off-line, پذیرفته شده, سرور درخواست را پذیرفته، اما هنوز آن را محاسبه نکرده‌است.,Accepted!,دریافت درخواست,90202.0,Accepted!,دریافت درخواست,10202.0,Accepted!,دریافت درخواست,,,
5,203.0, Non-Authoritative Information, Request fulfilled from cache, اطلاعات نامعتبر, سرور با موفقیت درخواست را محاسبه کرده، اما اطلاعاتی را نمایش می‌دهد که ممکن است مربوط به منبع دیگری باشند.,,,,,,,,,,,
6,204.0, No Content, Request fulfilled nothing follows, بدون محتویات, سرور با موفقیت درخواست را محاسبه کرده، اما هیچ محتوی ای را نمایش نمی‌دهد.,,,,,,,,,,,
7,205.0, Reset Content, Clear input form for further input., تنظیم مجدد محتوی, سرور با موفقیت درخواست را محاسبه کرده، اما هیچ محتوی ای را نمایش نمی‌دهد. برخلاف کد ۲۰۴، این کد نیازمند این است که درخواست‌کننده نمای پرونده را تنظیم مجدد کند(برای مثال خالی کردن یک فرم),,,,,,,,,,,
8,206.0, Partial Content, Partial content follows., محتوی جزئی, ,,,,,,,,,,,
9,300.0, Multiple Choices, Object has several resources -- see URI list, چندین انتخاب, سرور فعالیت‌های آماده‌ای بر اساس درخواست داده شده دارد. سرور ممکن است فعالیتی را بر اساس درخواست‌کننده انتخاب کند یا ممکن است لیستی از فعالیت‌هایی که درخواست‌کننده قادر به انتخاب آن هاست نمایش دهد.,,,,,,,,,,,
10,301.0, Moved Permanently, Object moved permanently -- see URI list, انتقال دائم, صفحه درخواست شده به‌طور دائم به مکان دیگری منتقل شده‌است. هنگامی که سرور این پاسخ را نمایش می‌دهد به‌طور خودکار درخواست‌کننده را به محل جدید انتقال می‌دهد.,,,,,,,,,,,
11,302.0, Found, Object moved temporarily -- see URI list, انتقال موقتی, سرور در حال حاضر پاسخگو به در خواست صفحه‌ای در مکان دیگر می‌باشد، اما درخواست‌کننده باید برای درخواست‌های آینده به استفاده از مکان اصلی ادامه دهد., , ,90302.0, , ,10302.0, , ,,,
12,303.0, See Other, Object moved -- see Method and URL list, به محل دیگری مراجعه کنید, سرور هنگامی این کد را نمایش می‌دهد که در خواست‌کننده باید درخواست جداگانهٔ دریافت را به محل دیگری برای دریافت پاسخ دهد.,,,,,,,,,,,
13,304.0, Not Modified, Document has not changed since given time, اصلاح نشده, از هنگام آخرین درخواست، صفحهٔ درخواست شده اصلاح نشده‌است. هنگامی که سرور این پاسخ را نمایش می‌دهد، محتوی صفحه نمایش داده نخواهد شد.,,,,,,,,,,,
14,305.0, Use Proxy, You must use proxy specified in Location to access this resource., استفاده از پراکسی, درخواست‌کننده زمانی می‌تواند به صفحه درخواست شده دسترسی داشته باشد که از پراکسی استفاده کند.,,,,,,,,,,,
15,307.0, Temporary Redirect, Object moved temporarily -- see URI list, تغییر مسیر موقت, این کد مشابه کد ۳۰۲ عمل می‌کند.,,,,,,,,,,,
